run_id,seed,dilemma_type,network_type,N,avg_degree,T,alpha,theta,beta,beneficiary_rule,init_frac_coop,converged,iters_to_conv,final_frac_coop
prisoners_HRG_T1.10_a0.90_s1,1,prisoners,HRG,1000,3.998,1.1,0.9,1.0,1.0,nearest,0.5,False,10000,0.602
prisoners_HRG_T1.10_a0.90_s2,2,prisoners,HRG,1000,4.0,1.1,0.9,1.0,1.0,random,0.5,False,10000,0.548
prisoners_HRG_T1.10_a0.90_s2,2,prisoners,HRG,1000,4.0,1.1,0.9,1.0,1.0,nearest,0.5,False,10000,0.608
prisoners_HRG_T1.10_a0.90_s3,3,prisoners,HRG,1000,4.0,1.1,0.9,1.0,1.0,random,0.5,False,10000,0.432
prisoners_HRG_T1.10_a0.90_s3,3,prisoners,HRG,1000,4.0,1.1,0.9,1.0,1.0,nearest,0.5,False,10000,0.57
prisoners_HRG_T1.10_a0.90_s4,4,prisoners,HRG,1000,3.998,1.1,0.9,1.0,1.0,random,0.5,False,10000,0.518
prisoners_HRG_T1.10_a0.90_s4,4,prisoners,HRG,1000,3.998,1.1,0.9,1.0,1.0,nearest,0.5,False,10000,0.562
prisoners_HRG_T1.20_a0.00_s0,0,prisoners,HRG,1000,3.998,1.2,0.0,1.0,1.0,random,0.5,False,10000,0.136
prisoners_HRG_T1.20_a0.00_s0,0,prisoners,HRG,1000,3.998,1.2,0.0,1.0,1.0,nearest,0.5,False,10000,0.104
prisoners_HRG_T1.20_a0.00_s1,1,prisoners,HRG,1000,3.998,1.2,0.0,1.0,1.0,random,0.5,False,10000,0.122
prisoners_HRG_T1.20_a0.00_s1,1,prisoners,HRG,1000,3.998,1.2,0.0,1.0,1.0,nearest,0.5,False,10000,0.148
prisoners_HRG_T1.20_a0.00_s2,2,prisoners,HRG,1000,4.0,1.2,0.0,1.0,1.0,random,0.5,False,10000,0.122
prisoners_HRG_T1.20_a0.00_s2,2,prisoners,HRG,1000,4.0,1.2,0.0,1.0,1.0,nearest,0.5,False,10000,0.138
prisoners_HRG_T1.20_a0.00_s3,3,prisoners,HRG,1000,4.0,1.2,0.0,1.0,1.0,random,0.5,False,10000,0.13
